Informações detalhadas sobre empréstimos de ativos que foram formalmente registrados.  Para todas as modalidades que a B3 publica no Boletim Diário a metodologia da taxa média de cada ativo divulgada no empréstimo é a média ponderada pela quantidade de negócios na data do pregão. Nos dias em que não houver negociação no ativo, a taxa divulgada será a última calculada disponível. Os detalhes sobre as regras utilizadas, bem como a definição de cada um dos campos, estão disponíveis no ;;;;;;;;;;;;;
Glossário;https://www.b3.com.br/data/files/32/02/C0/25/391EA810E9C1AAA8AC094EA8/Glossario%20_%20Emprestimos_Registrados.pdf;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;Taxa doador;;;Taxa tomador;;
Data;Código IF;Código ISIN;Empresa ou fundo;Mercado;Número de contratos;Quantidade de ativos;Valor em R$;Mínima;Média ponderada;Máxima;Mínima;Média ponderada;Máxima
30/06/2026;BRCO11;BRBRCOCTF007;BRESCO LOGÍSTICA - FDO INV IMOB;Registro;4;285;32495,7;0,10%;0,10%;0,10%;0,10%;0,10%;0,10%
30/06/2026;BFNX39;BRBFNXBDR001;GLOBAL X FINTECH ETF;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;FYTO11;BRFYTOCTF008;FII - FII FYTO RECEBÍVEIS IMOBILIÁRIOS RESP LIM;Registro;;0;0;8,00%;8,00%;8,00%;8,00%;8,00%;8,00%
30/06/2026;IVVB11;BRIVVBCTF001;ISHARES S&P 500 FUNDO DE ÍNDICE;Registro;121;199163;86128039,35;0,35%;0,48%;2,00%;0,35%;0,48%;2,00%
30/06/2026;CLXC34;BRCLXCBDR000;CLOROX COMPANY;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;DGCO34;BRDGCOBDR007;DOLLAR GENERAL CORP;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;U2ST34;BRU2STBDR009;UNITY SOFTWARE INC;Registro;;0;0;15,00%;15,00%;15,00%;15,00%;15,00%;15,00%
30/06/2026;XPSF11;BRXPSFCTF009;XP SELECTION FDO DE FII RESP LIM;Registro;;0;0;2,16%;2,16%;2,16%;2,16%;2,16%;2,16%
30/06/2026;FIIP11;BRFIIPCTF001;RB CAPITAL RENDA I - FII - RESP LIM;Registro;;0;0;11,20%;11,20%;11,20%;11,20%;11,20%;11,20%
30/06/2026;QUBT34;BRQUBTBDR001;QUANTUM COMPUTING INC;Registro;;0;0;0,10%;0,10%;0,10%;0,10%;0,10%;0,10%
30/06/2026;BCOM39;BRBCOMBDR009;ISHARES GSCI COMMODITY DYNAMIC ROLL STRATEGY ETF;Registro;;0;0;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%
30/06/2026;EBAY34;BREBAYBDR009;EBAY INC.;Registro;;0;0;17,00%;17,00%;17,00%;17,00%;17,00%;17,00%
30/06/2026;PORD11;BRPORDCTF005;POLO CREDITO IMOBILIARIO– FII;Registro;7;13030;110103,5;3,02%;3,02%;3,02%;3,02%;3,02%;3,02%
30/06/2026;B1SX34;BRB1SXBDR006;BOSTON SCIENTIFIC CORP;Registro;;0;0;30,00%;30,00%;30,00%;30,00%;30,00%;30,00%
30/06/2026;EALT3;BREALTACNOR4;ELECTRO ACO ALTONA S.A.;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;VLYB34;BRVLYBBDR000;VALLEY NATIONAL BANCORP;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;C1GP34;BRC1GPBDR006;COSTAR GROUP INC;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;BEMV39;BRBEMVBDR000;ISHARES MSCI EMERGING MARKETS MIN VOL FACTOR ETF;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;C2EM34;BRC2EMBDR006;CEMEX SAB DE CV;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;ESTR4;BRESTRACNPR0;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;MULT3;BRMULTACNOR5;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Registro;72;228184;6777064,8;0,30%;0,37%;0,86%;0,30%;0,37%;0,86%
30/06/2026;BIED3;BRBIEDACNOR2;BIOMA EDUCAÇÃO S.A.;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;MOVI3;BRMOVIACNOR0;MOVIDA PARTICIPACOES SA;Registro;48;361043;3466012,8;0,07%;0,10%;0,15%;0,07%;0,10%;0,15%
30/06/2026;S2UI34;BRS2UIBDR002;SUN COMMUNITIES INC;Registro;;0;0;35,00%;35,00%;35,00%;35,00%;35,00%;35,00%
30/06/2026;BQLT39;BRBQLTBDR000;ISHARES AAA - A RATED CORPORATE BOND ETF;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;U1AL34;BRU1ALBDR006;UNITED AIRLINES HOLDINGS INC;Registro;;0;0;20,00%;20,00%;20,00%;20,00%;20,00%;20,00%
30/06/2026;P2CY34;BRP2CYBDR000;PAYLOCITY HOLDING CORP;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;LIFE11;BRLIFECTF017;LIFE CAPITAL PARTNERS FUNDO DE INVESTIMENTO IMOB;Registro;;0;0;4,32%;4,32%;4,32%;4,32%;4,32%;4,32%
30/06/2026;BIYF39;BRBIYFBDR009;ISHARES US FINANCIALS ETF;Registro;;0;0;35,00%;35,00%;35,00%;35,00%;35,00%;35,00%
30/06/2026;MXRF11;BRMXRFCTF008;MAXI RENDA FDO INV IMOB RESP LIM;Registro;59;199278;1932996,6;0,08%;0,11%;0,15%;0,08%;0,11%;0,15%
30/06/2026;ALPK3;BRALPKACNOR9;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;Registro;11;83883;339726,15;6,03%;6,03%;6,03%;6,03%;6,03%;6,03%
30/06/2026;BEWT39;BRBEWTBDR003;ISHARES MSCI TAIWAN ETF;Registro;;0;0;20,00%;20,00%;20,00%;20,00%;20,00%;20,00%
30/06/2026;GFSA3;BRGFSAACNOR3;GAFISA S.A.;Registro;22;120739;144886,8;20,05%;20,05%;20,05%;20,05%;20,05%;20,05%
30/06/2026;W1DA34;BRW1DABDR001;WORKDAY INC;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;BCNY39;BRBCNYBDR006;ISHARES MSCI CHINA A ETF;Registro;;0;0;7,00%;7,00%;7,00%;7,00%;7,00%;7,00%
30/06/2026;JOPA3;BRJOPAACNOR5;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;Registro;;0;0;4,25%;4,25%;4,25%;4,25%;4,25%;4,25%
30/06/2026;BIBB39;BRBIBBBDR006;ISHARES BIOTECHNOLOGY ETF;Registro;;0;0;20,00%;20,00%;20,00%;20,00%;20,00%;20,00%
30/06/2026;CMIG4;BRCMIGACNPR3;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Registro;78;772921;8440297,32;0,01%;0,06%;0,15%;0,01%;0,06%;0,15%
30/06/2026;R2BL34;BRR2BLBDR007;ROBLOX CORPORATION;Registro;2;528;14794,56;15,00%;15,00%;15,00%;15,00%;15,00%;15,00%
30/06/2026;GPUS11;BRGPUSCTF003;INVESTO GP ETF S&P 500 FUNDO DE ÍNDICE;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;BHEW39;BRBHEWBDR008;ISHARES CURRENCY HEDGED MSCI JAPAN ETF;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;AXPB34;BRAXPBBDR007;AMERICAN EXPRESS COMPANY;Registro;;0;0;21,25%;21,25%;21,25%;21,25%;21,25%;21,25%
30/06/2026;HSLG11;BRHSLGCTF009;HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;Registro;1;5;434;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;EZTC3;BREZTCACNOR0;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Registro;30;182955;2440619,7;0,03%;0,03%;0,15%;0,03%;0,03%;0,15%
30/06/2026;HBOR3;BRHBORACNOR3;HELBOR EMPREENDIMENTOS S.A.;Registro;9;17632;38790,4;0,02%;0,04%;0,15%;0,02%;0,04%;0,15%
30/06/2026;POMO4;BRPOMOACNPR7;MARCOPOLO S.A.;Registro;29;137309;804630,74;0,03%;0,05%;0,25%;0,03%;0,05%;0,25%
