Informações detalhadas sobre empréstimos de ativos que foram formalmente registrados.  Para todas as modalidades que a B3 publica no Boletim Diário a metodologia da taxa média de cada ativo divulgada no empréstimo é a média ponderada pela quantidade de negócios na data do pregão. Nos dias em que não houver negociação no ativo, a taxa divulgada será a última calculada disponível. Os detalhes sobre as regras utilizadas, bem como a definição de cada um dos campos, estão disponíveis no ;;;;;;;;;;;;;
Glossário;https://www.b3.com.br/data/files/32/02/C0/25/391EA810E9C1AAA8AC094EA8/Glossario%20_%20Emprestimos_Registrados.pdf;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;Taxa doador;;;Taxa tomador;;
Data;Código IF;Código ISIN;Empresa ou fundo;Mercado;Número de contratos;Quantidade de ativos;Valor em R$;Mínima;Média ponderada;Máxima;Mínima;Média ponderada;Máxima
30/06/2026;TOTS3;BRTOTSACNOR8;TOTVS S.A.;Registro;74;1344180;38376339;0,10%;2,18%;2,25%;0,10%;2,18%;2,25%
30/06/2026;W1SO34;BRW1SOBDR000;WATSCO INC;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;SOJA3;BRSOJAACNOR9;BOA SAFRA SEMENTES S.A.;Registro;34;136209;841771,62;1,20%;1,58%;1,59%;1,20%;1,58%;1,59%
30/06/2026;BJQU39;BRBJQUBDR002;JPMORGAN US QUALITY FACTOR ETF;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;MCDC34;BRMCDCBDR000;MCDONALDS CORP.;Registro;;0;0;1,69%;1,69%;1,69%;1,69%;1,69%;1,69%
30/06/2026;M1TC34;BRM1TCBDR005;MATCH GROUP INC;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;CARE11;BRCARECTF000;BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;R1HI34;BRR1HIBDR002;ROBERT HALF INC.;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;V1IP34;BRV1IPBDR009;VIPSHOP HOLDINGS LTD;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;VCRR11;BRVCRRCTF008;PATRIA RENDA RESIDENCIAL FDO. INV. IMOB. RESP. LIM;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;PLAS3;BRPLASACNOR2;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;RBRR11;BRRBRRCTF008;FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE;Registro;2;24;1863,36;0,44%;0,44%;0,44%;0,44%;0,44%;0,44%
30/06/2026;LAVV3;BRLAVVACNOR4;LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Registro;22;141204;1642202,52;0,20%;0,20%;0,20%;0,20%;0,20%;0,20%
30/06/2026;BHDV39;BRBHDVBDR002;ISHARES CORE HIGH DIVIDEND ETF;Registro;;0;0;15,00%;15,00%;15,00%;15,00%;15,00%;15,00%
30/06/2026;KMBB34;BRKMBBBDR009;KIMBERLY-CLARK CORP;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;J1EG34;BRJ1EGBDR003;JACOBS SOLUTIONS INC.;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;ESGB11;BRESGBCTF007;BTG PACTUAL ESG FUNDO DE ÍNDICE S&P/B3 BRAZIL ES;Registro;2;7;808,36;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;T1CH34;BRT1CHBDR003;BIO-TECHNE CORPORATION;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;DEXP3;BRDEXPACNOR1;DEXXOS PARTICIPACOES S.A.;Registro;4;15600;108420;0,10%;0,10%;0,10%;0,10%;0,10%;0,10%
30/06/2026;W1BD34;BRW1BDBDR009;WARNER BROS. DISCOVERY, INC..;Registro;;0;0;30,00%;30,00%;30,00%;30,00%;30,00%;30,00%
30/06/2026;VINO11;BRVINOCTF001;VINCI OFFICES FII RESP LIM;Registro;4;16127;76925,79;1,00%;1,00%;1,00%;1,00%;1,00%;1,00%
30/06/2026;A1RE34;BRA1REBDR009;ALEXANDRIA REAL ESTATE EQUITIES INC;Registro;;0;0;40,00%;40,00%;40,00%;40,00%;40,00%;40,00%
30/06/2026;MAPT4;BRMAPTACNPR5;CEMEPE INVESTIMENTOS S.A.;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;NATU3;BRNATUACNOR6;NATURA COSMETICOS S.A.;Registro;457;23118830;191886289;25,70%;60,63%;100,00%;25,70%;60,63%;100,00%
30/06/2026;B1ME34;BRB1MEBDR009;BEONE MEDICINES LTD;Registro;;0;0;8,00%;8,00%;8,00%;8,00%;8,00%;8,00%
30/06/2026;ABEV3;BRABEVACNOR1;AMBEV S.A.;Registro;311;8058032;134166232,8;0,01%;0,12%;0,15%;0,01%;0,12%;0,15%
30/06/2026;COCE3;BRCOCEACNOR0;CIA ENERGETICA DO CEARA - COELCE;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;COCE5;BRCOCEACNPA3;CIA ENERGETICA DO CEARA - COELCE;Registro;1;1;30,9;5,04%;5,04%;5,04%;5,04%;5,04%;5,04%
30/06/2026;GILD34;BRGILDBDR000;GILEAD SCIENCES, INC.;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;PASS3;BRPASSACNOR7;COMPASS GAS E ENERGIA S.A.;Registro;5;5177;126940,04;3,69%;3,69%;3,69%;3,69%;3,69%;3,69%
30/06/2026;BAAX39;BRBAAXBDR009;ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF;Registro;;0;0;3,00%;3,00%;3,00%;3,00%;3,00%;3,00%
30/06/2026;SAUD3;BRSAUDACNOR9;BRADSAUDE S.A.;Registro;23;361646;5189620,1;0,32%;0,32%;0,81%;0,32%;0,32%;0,81%
30/06/2026;BIGL39;BRBIGLBDR004;ISHARES 10 YEAR INVESTM GRADE CORPORATE BOND ETF;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;ALUG11;BRALUGCTF000;INVESTO ETF MSCI REAL ESTATE ETF FDO INDICE - IE;Registro;1;2;86,72;6,54%;6,54%;6,54%;6,54%;6,54%;6,54%
30/06/2026;ISAE3;BRISAEACNOR2;ISA ENERGIA BRASIL S.A;Registro;4;4600;154238;4,00%;4,00%;4,00%;4,00%;4,00%;4,00%
30/06/2026;CEBR6;BRCEBRACNPB6;CIA ENERGETICA DE BRASILIA;Registro;;0;0;8,71%;8,71%;8,71%;8,71%;8,71%;8,71%
30/06/2026;BCHI39;BRBCHIBDR001;ISHARES MSCI CHINA ETF;Registro;;0;0;6,00%;6,00%;6,00%;6,00%;6,00%;6,00%
30/06/2026;CORN11;BRCORNCTF002;BB ETF ÍNDICE FUT. DE MILHO B3 FDO DE ÍNDICE RES L;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;UTLL11;BRUTLLCTF000;INVESTO B3 UTILIDADE PÚBLICA FUNDO DE ÍNDICE;Registro;;0;0;0,10%;0,10%;0,23%;0,10%;0,10%;0,23%
30/06/2026;BDLL4;BRBDLLACNPR8;BARDELLA S.A. INDUSTRIAS MECANICAS;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;I1RM34;BRI1RMBDR004;IRON MOUNTAIN INC;Registro;;0;0;20,00%;20,00%;20,00%;20,00%;20,00%;20,00%
30/06/2026;I1XC34;BRI1XCBDR003;ORIX CORP;Registro;;0;0;15,00%;15,00%;15,00%;15,00%;15,00%;15,00%
30/06/2026;JALL3;BRJALLACNOR0;JALLES MACHADO S.A.;Registro;42;178359;392389,8;0,07%;0,07%;0,07%;0,07%;0,07%;0,07%
30/06/2026;MGEL4;BRMGELACNPR3;MANGELS INDUSTRIAL S.A.;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;V1TA34;BRV1TABDR008;VENTAS INC;Registro;2;36;8326,44;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;L1UL34;BRL1ULBDR005;LULULEMON ATHLETICA INC;Registro;;0;0;15,00%;15,00%;15,00%;15,00%;15,00%;15,00%
30/06/2026;WIZC3;BRWIZCACNOR5;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;Registro;8;30930;246202,8;0,42%;0,42%;0,91%;0,42%;0,42%;0,91%
30/06/2026;STZB34;BRSTZBBDR006;CONSTELLATION BRANDS INC;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;E1XC34;BRE1XCBDR007;EXELON CORP;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;Z1BR34;BRZ1BRBDR006;ZEBRA TECHNOLOGIES CORPORATION;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;FOMO11;BRFOMOCTF004;HASHDEX MOMENTUM FUNDO DE ÍNDICE – RESP LIMIT;Registro;;0;0;3,51%;3,51%;3,51%;3,51%;3,51%;3,51%
30/06/2026;PSSA3;BRPSSAACNOR7;PORTO SEGURO S.A.;Registro;64;94249;5012161,82;0,01%;0,06%;0,15%;0,01%;0,06%;0,15%
30/06/2026;BILF39;BRBILFBDR006;ISHARES LATIN AMERICA 40 ETF;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;RAIZ4;BRRAIZACNPR6;RAIZEN S.A.;Registro;203;12013322;4805328,8;13,92%;19,88%;23,00%;13,92%;19,88%;23,00%
30/06/2026;LAND3;BRLANDACNOR9;TERRA SANTA PROPRIEDADES AGRICOLAS S.A.;Registro;;0;0;8,84%;8,84%;8,84%;8,84%;8,84%;8,84%
30/06/2026;R1DY34;BRR1DYBDR008;DR REDDYS LABORATORIES LTD;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;SAPR4;BRSAPRACNPR6;CIA SANEAMENTO DO PARANA - SANEPAR;Registro;5;198;1425,6;0,08%;0,10%;0,15%;0,08%;0,10%;0,15%
30/06/2026;XPIE11;BRXPIECTF003;XP INFRA II FDO DE INV PART IE;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;FATN11;BRFATNCTF000;BRC RENDA CORPORATIVA FII RESP LIM;Registro;2;479;37898,48;14,09%;14,09%;14,09%;14,09%;14,09%;14,09%
30/06/2026;ELAS11;BRELASCTF009;SAFRA ETF MULHE NA LIDER FDO DE ÍND AÇÕES RESP LIM;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;RENT4;BRRENTACNPR1;LOCALIZA RENT A CAR S.A.;Registro;27;65323;2711557,73;0,35%;0,35%;0,50%;0,35%;0,35%;0,50%
30/06/2026;TASA4;BRTASAACNPR4;TAURUS ARMAS S.A.;Registro;4;694;3449,18;0,12%;0,12%;0,15%;0,12%;0,12%;0,15%
30/06/2026;A1MT34;BRA1MTBDR008;APPLIED MATERIALS INC;Registro;1;25;8558,75;11,65%;11,65%;11,65%;11,65%;11,65%;11,65%
30/06/2026;NIKE34;BRNIKEBDR006;NIKE INC;Registro;2;157;3350,38;0,10%;0,10%;0,10%;0,10%;0,10%;0,10%
30/06/2026;CCTY3;BRCCTYACNOR7;BELORA RDVC CITY DESENVOLVIMENTO  IMOBILIÁRIO S.A.;Registro;;0;0;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%
30/06/2026;COGN3;BRCOGNACNOR2;COGNA EDUCAÇÃO S.A.;Registro;35;483871;1108064,59;0,01%;0,04%;0,15%;0,01%;0,04%;0,15%
30/06/2026;A1MP34;BRA1MPBDR006;AMERIPRISE FINANCIAL INC;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;HOME34;BRHOMEBDR002;THE HOME DEPOT, INC.;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
